year,month,day, gfdl_pdo, ipsl_pdo, had_pdo, gfdl_pdo_fil10yr, ipsl_pdo_fil10yr, had_pdo_fil10yr
1976,1,16,-0.01990969,0.02849335,-0.01162293,NaN,NaN,NaN
1976,2,16,-0.01823809,0.02523401,-0.01538395,NaN,NaN,NaN
1976,3,16,-0.02825527,0.0351795,-0.03211937,NaN,NaN,NaN
1976,4,16,-0.02764144,0.03479267,-0.02025529,NaN,NaN,NaN
1976,5,16,-0.02262831,0.009737453,-0.0249459,NaN,NaN,NaN
1976,6,16,-0.0311809,0.008439577,-0.006177641,NaN,NaN,NaN
1976,7,16,-0.02882671,0.01316449,0.003397685,NaN,NaN,NaN
1976,8,16,-0.0225167,-0.0099277,-0.01014984,NaN,NaN,NaN
1976,9,16,0.000994226,-0.02119832,-0.01343026,NaN,NaN,NaN
1976,10,16,-0.01189007,0.003478795,-0.01726529,NaN,NaN,NaN
1976,11,16,-0.02620582,0.03314249,-0.02586402,NaN,NaN,NaN
1976,12,16,-0.02640096,0.04335883,-0.03134947,NaN,NaN,NaN
1977,1,16,-0.02481388,0.04460822,-0.03379817,NaN,NaN,NaN
1977,2,16,-0.01470031,0.04227408,-0.03557261,NaN,NaN,NaN
1977,3,16,-0.008918711,0.03569282,-0.02132901,NaN,NaN,NaN
1977,4,16,-0.002455371,0.02097624,0.005676369,NaN,NaN,NaN
1977,5,16,-0.008529615,0.01448928,0.00532447,NaN,NaN,NaN
1977,6,16,-0.0306211,-0.00262337,0.01334791,NaN,NaN,NaN
1977,7,16,-0.01138382,-0.03427455,0.01901377,NaN,NaN,NaN
1977,8,16,-0.01328665,-0.0254233,0.02084856,NaN,NaN,NaN
1977,9,16,-0.009815248,-0.02611154,0.02039694,NaN,NaN,NaN
1977,10,16,-0.01235062,0.004323937,0.03178492,NaN,NaN,NaN
1977,11,16,-0.00922099,0.01592921,0.03206809,NaN,NaN,NaN
1977,12,16,0.004630946,0.01119548,0.02619982,NaN,NaN,NaN
1978,1,16,0.000723211,-0.003350935,0.01423176,NaN,NaN,NaN
1978,2,16,0.006672675,-0.002704459,0.003364752,NaN,NaN,NaN
1978,3,16,0.01569868,-0.0008088879,0.01522116,NaN,NaN,NaN
1978,4,16,0.03176156,-0.004857367,0.02507423,NaN,NaN,NaN
1978,5,16,0.03031608,0.008053483,0.007996536,NaN,NaN,NaN
1978,6,16,0.02861617,0.005503367,0.002638301,NaN,NaN,NaN
1978,7,16,0.03850661,-0.02571385,0.01445767,NaN,NaN,NaN
1978,8,16,0.01486652,-0.04093933,-0.006269004,NaN,NaN,NaN
1978,9,16,0.007583358,-0.0235698,0.0147301,NaN,NaN,NaN
1978,10,16,-0.007837702,-0.02601784,0.0277417,NaN,NaN,NaN
1978,11,16,0.01643503,0.009032079,0.0333403,NaN,NaN,NaN
1978,12,16,0.02412417,0.0220448,0.03780469,NaN,NaN,NaN
1979,1,16,0.02142097,0.0270876,0.04452895,NaN,NaN,NaN
1979,2,16,0.01945856,0.02277222,0.0278051,NaN,NaN,NaN
1979,3,16,0.01923264,0.02200023,0.01603543,NaN,NaN,NaN
1979,4,16,0.02260869,0.01770337,0.0170025,NaN,NaN,NaN
1979,5,16,0.01787979,-0.005239489,0.0214268,NaN,NaN,NaN
1979,6,16,0.002358416,-0.02063618,0.01047576,NaN,NaN,NaN
1979,7,16,-0.01421765,-0.02441819,0.001419952,NaN,NaN,NaN
1979,8,16,-0.02607161,-0.0412036,0.0243009,NaN,NaN,NaN
