year,gfdl_sst_station,gfdl_sst_all,had_sst_station,had_sst_all,ipsl_sst_station,ipsl_sst_all
1980,16.55392341,16.43328001,17.35902742,17.14289067,16.6966566,16.56294597
1981,16.68066635,16.52503173,17.16586459,16.84502038,16.5429225,16.33305015
1982,16.2599561,16.2604184,17.01378382,16.76520689,16.21871189,16.08386406
1983,16.33869696,16.28836546,16.33390188,16.13336833,15.72314008,15.583915
1984,17.34373739,17.21173691,16.99718308,16.80881405,16.00060663,15.94075077
1985,16.84289118,16.66909029,16.64237159,16.46264913,16.44604213,16.34103236
1986,16.75980825,16.6170774,15.56998732,15.46566653,16.8952615,16.7211879
1987,17.12324413,17.04996223,16.72341397,16.61689338,16.58522543,16.45506114
1988,16.58117923,16.491796,16.79967316,16.60461565,16.35301837,16.23417614
1989,17.1442493,17.03339961,17.45081611,17.37931717,16.81842459,16.70316116
1990,16.63274281,16.48008451,17.19132488,17.13430227,16.54049737,16.40328835
1991,16.7592349,16.63800669,17.35117461,17.19212481,16.48684359,16.31741856
1992,15.63755247,15.48262608,16.5274505,16.35924696,16.19325692,16.06003322
1993,16.1490476,15.96739516,16.10631552,15.96931714,16.89023567,16.73464674
1994,16.96807032,16.71972299,16.86308166,16.67232626,16.89680983,16.74405422
1995,16.59305736,16.27994165,16.41836311,16.21060287,16.95844774,16.7662119
1996,16.93336365,16.75284329,16.88960861,16.70195835,17.29429146,17.1488236
1997,16.8247344,16.62590456,17.23217664,16.96503468,17.17930603,17.01929162
1998,17.28969754,17.11326985,17.42316159,17.14070596,16.9641983,16.80226685
1999,17.82703711,17.71044263,16.39217834,16.21096621,16.72732434,16.5607384
2000,16.9655408,16.73776557,16.06933351,15.95056301,17.17404427,17.01444245
2001,17.5927561,17.42566261,16.29406486,16.27742207,16.84465416,16.59867216
2002,16.96070422,16.839503,16.2242687,16.25532542,16.24904049,16.16015263
2003,17.50836629,17.4113393,17.02344568,16.92652736,16.65853746,16.56911926
2004,16.16039173,16.06040069,16.76663142,16.80046982,17.22266874,17.08356785
2005,16.52393397,16.39876049,16.78453145,16.61427138,17.14525885,17.05477309
2006,17.15890446,16.9825098,17.00055773,16.83297955,17.02797042,16.90048979
2007,16.8185466,16.63756106,17.00168733,16.91743733,17.80353525,17.68862109
2008,16.60343748,16.44707833,17.4460649,17.28111511,16.98290532,16.85035951
2009,16.29433276,16.20444574,17.30273754,17.09599404,17.23028611,17.01293073
2010,16.25008069,16.16334806,18.00838482,17.8822562,16.81176324,16.67960107
2011,17.16789132,17.00045633,17.36973135,17.25190569,16.79626126,16.62805245
2012,16.96799542,16.82991611,17.30833712,17.11882782,16.9651024,16.80541539
2013,16.80445079,16.67334321,17.74453586,17.63649771,16.80105666,16.66270288
2014,16.38319562,16.3078479,17.08229316,16.93213098,16.76119811,16.64532478
2015,17.57559026,17.52063356,17.25110087,17.12366258,17.21579259,17.09047732
2016,16.82841508,16.79340927,17.76611111,17.60110035,17.44523696,17.34060746
2017,16.75009359,16.69830949,17.81703213,17.62113208,18.04000793,17.90290361
2018,16.62148051,16.50896527,17.40667217,17.25102327,17.91990634,17.78384135
2019,16.43257621,16.37717201,17.04638144,16.9336772,17.76317076,17.60413998
2020,16.58841029,16.57464889,17.65313998,17.5691027,17.49574346,17.39777923
2021,17.86608017,17.72683904,17.76933752,17.61932958,17.30267663,17.16714501
2022,18.57833698,18.36494704,17.98631795,17.79058355,17.53054651,17.38178111
2023,19.56668515,19.36745006,18.56388613,18.25707904,18.10603094,17.88725307
2024,17.66090573,17.54677545,18.98144581,18.63218775,17.59810902,17.35078497
2025,17.9932577,17.87189768,17.8761206,17.63433395,18.02677414,17.82094018
2026,17.78098746,17.60711603,18.03848066,17.83377046,17.43652533,17.249314
2027,17.61583182,17.41481284,17.83007802,17.60648079,17.08762662,16.91337864
2028,17.09437492,16.99554333,18.86595952,18.61318709,17.3010692,17.16450249
2029,17.60451941,17.53745522,19.10635179,18.7844161,17.35823548,17.27723285
2030,18.30109529,18.13147047,18.67710322,18.40644731,17.36038904,17.31495015
2031,17.37213716,17.17530841,17.9668238,17.79171213,17.97048906,17.86080268
2032,16.9557771,16.86264938,18.07570714,17.92182927,17.76249466,17.55568432
2033,16.85489807,16.66086538,17.74970618,17.59612297,17.87157843,17.70038138
2034,17.29323474,17.21295422,17.53240339,17.4160097,18.21874961,17.98445913
2035,18.28940702,18.05875271,18.14853172,18.04101795,18.22466953,18.13047885
2036,16.83974801,16.63902791,17.63659675,17.5475839,18.52922181,18.34708553
2037,18.09919261,17.94168946,17.42085186,17.23609357,18.42281418,18.34663036
2038,17.41665712,17.38164033,18.32720287,18.04252543,18.57001178,18.36783109
2039,17.21162557,17.0755788,18.64976065,18.35239304,17.55254197,17.42622086
2040,16.62828913,16.65178617,18.437765,18.22361257,17.82857874,17.7869813
2041,16.30724869,16.22657791,18.490904,18.28670354,17.11379531,17.08924309
2042,17.28579487,17.18911835,18.22645971,18.12148436,18.29259636,18.26853373
2043,18.01074224,17.93733015,19.04658673,18.93652868,18.08560451,18.04946888
2044,18.42122503,18.27465656,18.58066478,18.51501377,18.03050116,17.90093175
2045,18.64822143,18.46596829,18.90060498,18.86164706,17.86421405,17.69897842
2046,18.59341835,18.33507836,18.86590327,18.82482055,18.62138921,18.45113239
2047,18.17105805,17.89784472,18.73459963,18.7288432,18.68173015,18.53343528
2048,18.92363402,18.69336889,18.17648304,18.15574044,18.54599275,18.4218609
2049,18.56518422,18.33700244,18.32546017,18.22276589,19.01582799,18.78600156
2050,17.89424287,17.78786455,19.00938028,18.78066018,18.88687927,18.75696223
2051,18.09574971,17.95839729,18.76398376,18.49941805,18.43114669,18.32805847
2052,18.49082033,18.3197689,19.44400933,19.11884613,18.7699499,18.6460724
2053,17.32346834,17.1967211,19.00352068,18.82221492,18.07935894,17.91351771
2054,17.83673958,17.65727542,18.92472167,18.64065107,16.96631306,16.84508891
2055,18.18873743,17.90856195,19.65170127,19.41431596,17.97262125,17.90196324
2056,17.59229406,17.50830358,20.20286296,19.92873797,18.65459979,18.50341777
2057,18.15671629,18.10224494,19.32364119,19.04893367,18.28256082,18.16768054
2058,18.15327155,18.0963845,20.01221723,19.82653273,18.68685161,18.64226461
