"","Year","GCM","ensembleSSB","ensembleRec","ensembleRecDevs","elsSSB","elsRecs","elsRecDevs"
"1",1981,"RA",1166.21526437401,22964515.12467,-0.112117939985332,1302.41281173821,23706131.9612375,-0.269960398579058
"2",1982,"RA",1864.09993389415,54617187.5371925,0.783232412778778,2114.7713599827,52502258.707345,0.383976301472712
"3",1983,"RA",2808.77894448887,60419536.4533,0.0895693084330123,3106.16931845915,60419536.4533,-0.12742731749912
"4",1984,"RA",4537.17139665942,137256075.297017,0.859784383905405,4794.7327586383,129269911.063953,0.561701715352372
"5",1985,"RA",7367.12707571589,46838371.0658307,-2.64518217302912,7588.98853228584,38512975.5080132,-2.94529034263433
"6",1986,"RA",10275.496545052,93126517.0116127,-1.84248756278133,10142.7217164933,77337096.7403428,-2.08519435994297
"7",1987,"RA",11963.548923932,303834097.266278,0.47893460947245,11941.613216133,236870963.998828,-0.0721091040120151
"8",1988,"RA",15831.6577584497,653812917.80845,1.57951972884221,15117.4705694328,557180642.3391,1.23561959971275
"9",1989,"RA",28899.9124953412,856671896.358875,0.855606360449783,26212.3196768556,630725071.453825,0.356720122474135
"10",1990,"RA",52357.4457966741,1810911810.5789,1.24204316570233,47764.5532064477,1591304597.37965,1.07470299647322
"11",1991,"RA",85303.3240401123,2982332597.28375,1.3203143950801,79959.7236639205,2790559815.9925,1.22191794144547
"12",1992,"RA",128453.769361657,2699888121.11425,0.244264600809952,127944.471822699,1932215190.44075,-0.467545995468461
"13",1993,"RA",149875.271092269,7262566852.28125,2.15717183185902,145176.861079509,7262566852.28125,2.07590913543224
"14",1994,"RA",190230.977022299,6030473709.7735,1.26404227777107,189882.357493178,5535237915.2455,1.00436964162173
"15",1995,"RA",308202.013182714,9710179089.3135,1.42133833526964,316438.684708378,9710179089.3135,1.28343272506173
"16",1996,"RA",421986.471104465,8217622726.52968,0.492408052359678,430477.022251677,7992486210.63093,0.370163128694555
"17",1997,"RA",563654.881506353,7391608756.21122,-0.219615675759819,569604.545808562,6229040052.84147,-0.580401269966549
"18",1998,"RA",637401.73835988,17190329868.13,1.4900088069763,633695.342269082,15170910430.965,1.13781622873425
"19",1999,"RA",688937.072651722,18186546903.1728,1.50082630802003,673464.309638943,15546047282.7828,1.10395209462911
"20",2000,"RA",862592.351036123,4843946096.41725,-1.79358331245512,819083.970257426,4375220637.60625,-1.82385343476551
"21",2001,"RA",933533.719358238,14598218225.6225,0.583355457809256,883564.32197804,10170444272.7107,-0.146642071158466
"22",2002,"RA",829447.116129915,12133737387.7585,0.326025024624103,775409.655278169,8756639034.00925,-0.293500538728723
"23",2003,"RA",751681.255692745,10442823143.2938,0.126239636788506,680481.788042485,8871290466.24825,-0.0899031500673103
"24",2004,"RA",645869.654988879,10577695114.7965,0.377476435575286,607884.066577344,10477443144.3965,0.418750381899552
"25",2005,"RA",586524.478249778,16767654771.4383,1.56135993219949,574081.613151252,15263900056.8108,1.29263010909308
"26",2006,"RA",654391.175686746,20397156838.0247,1.83531562361455,636205.475654526,16877676147.5498,1.35638813367888
"27",2007,"RA",837280.622472498,16778415480.1845,1.04238700452107,803091.613256593,11770806604.802,0.282538364343008
"28",2008,"RA",936114.241315254,9717872389.14525,-0.335892208606574,879967.540857258,6393655151.8255,-1.11750026367709
"29",2009,"RA",853676.893205837,2397945430.77907,-3.36156330059984,779323.954540435,2038368139.74685,-3.36497304688102
"30",2010,"RA",616014.333395065,8417257773.86625,-0.0648438503161385,577254.305169887,7894434903.95825,-0.101700734739681
"31",2011,"RA",470302.166569987,7343428421.0205,0.0575988917750319,436518.97985634,6768946238.7645,-0.00117974509802511
"32",2012,"RA",426174.321098447,4153043744.58375,-1.05989812743442,393804.413160254,3475198372.13,-1.23873109058891
"33",2013,"RA",369318.198080017,2260546656.06055,-2.18154704338447,325237.581770759,1969250769.00685,-2.11753669978592
"34",2014,"RA",257264.835923958,1354999878.33127,-2.67575354648739,221149.315796954,1150271201.95502,-2.57596080465108
"35",2015,"RA",175100.567335961,1755925591.80829,-1.34861812326327,150129.4155705,1661877073.94229,-1.08828492501071
"36",2016,"RA",137040.384463385,2173421426.41139,-0.375926865945135,128557.259629283,2173421426.41139,-0.229354216539111
"37",2017,"RA",134520.004588472,998095289.3435,-2.08913686025279,134298.383662569,998095289.3435,-1.9490373027533
"38",2018,"RA",154412.879686102,1415082865.89375,-1.58303076957831,155820.034745446,1415082865.89375,-1.49629612511399
"39",2021,"GFDL",16483.2399989689,216329542.302199,-0.998751255429401,17325.2742223525,166415002.032849,-1.58823259745513
"40",2021,"HAD",16552.7620825366,262291068.794245,-0.57462037703251,17428.476827586,208245154.836845,-1.12909268219641
"41",2021,"IPSL",16535.131331315,389519562.385795,0.317563027304492,17477.4658053699,389519562.385795,0.181711115430516
"42",2022,"GFDL",20075.7132369615,525534265.343575,0.560929377479212,21343.3453983466,427518051.86925,-0.0365785210463198
"43",2022,"HAD",20934.7013850392,640462984.1608,0.913130084858306,22148.414052377,562411444.228325,0.463454112439517
"44",2022,"IPSL",22405.563221204,630132498.0729,0.726257672730379,24412.674029154,630132498.0729,0.501443532864507
"45",2023,"GFDL",29181.9885077027,842986962.204303,0.797993598449439,29716.0696940229,730344357.769778,0.406806722415004
"46",2023,"HAD",31890.5009627463,793986293.19625,0.468110016203314,32895.9374750629,692442151.025625,0.0860209028014735
"47",2023,"IPSL",37859.4181814197,1088805880.50815,0.802613903458593,40431.9717101803,1088805880.50815,0.615803985808888
"48",2024,"GFDL",45861.363222068,1295042137.03833,0.774874234451648,46562.8382097311,1204995705.50283,0.541726528282231
"49",2024,"HAD",50144.032649264,1468199807.55056,0.863502683541629,51481.017590486,1468199807.55056,0.753645450937441
"50",2024,"IPSL",59471.9658251908,1581117695.7621,0.661812163397719,61882.7830132129,1581117695.7621,0.538595104879857
"51",2025,"GFDL",69609.3596568088,1905651520.22835,0.744423503710978,72690.1031673376,1751165465.29785,0.431526713943482
"52",2025,"HAD",73968.1250574863,1809895064.41173,0.498898822485675,77997.3413041454,1642460634.07247,0.156713946406206
"53",2025,"IPSL",88971.2979177678,1961831314.91353,0.289129431151789,92699.3740584445,1940854977.55627,0.166893263921423
"54",2026,"GFDL",101859.272041383,2607413900.35355,0.645594478973243,105386.996126752,2320256984.0408,0.291630520781016
"55",2026,"HAD",107916.544401294,3091683929.04182,0.908619168865811,113521.143834203,2995785582.47183,0.68468679749761
"56",2026,"IPSL",122871.826046044,3157695402.6487,0.687868932156226,128951.74065641,3157695402.6487,0.550178444283881
"57",2027,"GFDL",137279.787484808,2107042473.07896,-0.449271510805231,138350.137963393,1817613354.92596,-0.74526421141925
"58",2027,"HAD",141634.650878061,3457172529.46873,0.601418930830407,147873.650528546,3419399105.48098,0.457321634364418
"59",2027,"IPSL",157893.409014102,4263020309.17017,0.853551527268249,163968.155956021,4263020309.17017,0.726948201990324
"60",2028,"GFDL",167363.015173482,3068860970.26799,-0.00249669687591951,166290.696095399,2697937540.20574,-0.261204029624545
"61",2028,"HAD",187535.438743296,4491300067.69423,0.629024516874016,191880.315799983,4491300067.69423,0.545753417076666
"62",2028,"IPSL",208791.74052752,3972517308.80325,0.143131362637964,212702.397063133,3972517308.80325,0.100165793260951
"63",2029,"GFDL",182442.178032709,3148166735.611,-0.116229444570152,179128.700392653,2793873680.206,-0.325798778149932
"64",2029,"HAD",240336.406875252,9966456199.26975,1.9427099163367,242993.064933142,9966456199.26975,1.79585589174869
"65",2029,"IPSL",258208.31195368,4901957974.77713,0.210600546046347,262436.33991438,4901957974.77713,0.168333634931375
"66",2030,"GFDL",199236.05287875,2673539387.95925,-0.656758459309286,194662.897192307,2390435271.77875,-0.80662956845866
"67",2030,"HAD",352603.088111302,23302692873.2142,3.14940922074918,354476.322015822,23302692873.2142,2.93418225377125
"68",2030,"IPSL",297032.452939981,5608924331.45175,0.253857704665626,301303.581729608,4790120253.3895,-0.118988337051021
"69",2031,"GFDL",211108.064509856,3423008889.498,-0.21323912772025,204959.177188309,3153763276.6415,-0.317919631246831
"70",2031,"HAD",642970.477034399,20815730633.819,1.90746678630696,643588.914837739,18103777897.5015,1.48757164782054
"71",2031,"IPSL",330263.902661832,3199840057.21443,-1.20136678891984,328772.524013941,2250456576.34943,-1.85505257274229
"72",2032,"GFDL",215335.227791907,3444907264.40725,-0.237223925296703,209691.160928387,3177275691.95125,-0.343702767248955
"73",2032,"HAD",994269.685501438,11171991607.13,-0.100035374723977,994378.062952634,7780604638.80103,-0.854267644085219
"74",2032,"IPSL",327101.680278064,10293624840.7273,1.44496773327991,317288.178200525,7620689212.5848,0.769428769680302
"75",2033,"GFDL",225131.780137727,4558439282.80275,0.307358684376395,220630.402016417,4217519286.905,0.160029572734805
"76",2033,"HAD",1128198.34425421,12450601614.0475,-0.0130230159756312,1094642.36703575,6879753989.788,-1.22513208114697
"77",2033,"IPSL",356846.397892937,8277656257.36656,0.799400101529884,323018.659082326,4751389108.52106,-0.254098533804808
"78",2034,"GFDL",246020.546112256,2817330198.13025,-0.9444436031125,240533.2984644,2539494224.6935,-1.06086629063942
"79",2034,"HAD",994707.882559137,8790374977.38326,-0.640060277750819,919992.930915089,3857532961.45876,-2.23519462058193
"80",2034,"IPSL",428810.213663269,9635896719.7887,0.823446630925367,373842.97683624,5005059581.20396,-0.387236626990865
"81",2035,"GFDL",251766.042582855,5133237745.06359,0.361876599082283,248147.949285958,4255688324.95134,-0.0305034268620786
