"","Year","expPDO","recDevPDO","recDevSS_cyclPDO","recDevPDObc"
"120",2019,-0.504288975038512,-0.394101833992597,0.215546136892967,-1.19342750278895
"121",2020,-0.544638749879911,-0.42563518303115,-1.84989630114104,-1.28891745678485
"1",2021,-0.578272796040639,-0.451920190105759,0.301618021627595,-1.36851427072515
"2",2022,-0.604822611872558,-0.472668871178404,-1.39992007737048,-1.43134586525956
"3",2023,-0.623997312037537,-0.487653899357335,-1.17611231644211,-1.47672384429008
"4",2024,-0.635586814507987,-0.496711095537992,-0.826613278201082,-1.50415103718245
"5",2025,-0.639464142269583,-0.499741227183679,-1.5224137839275,-1.51332694587183
"6",2026,-0.635586814507987,-0.496711095537992,-1.88717645021556,-1.50415103718245
"7",2027,-0.623997312037538,-0.487653899357336,-2.75146902037344,-1.47672384429008
"8",2028,-0.604822611872572,-0.472668871178415,-0.493252961909051,-1.4313458652596
"9",2029,-0.578272796040641,-0.451920190105761,-1.8840628579258,-1.36851427072516
"10",2030,-0.544638749879913,-0.425635183031152,-0.186344663727247,-1.28891745678486
"11",2031,-0.504288975038514,-0.394101833992599,-2.86174533732759,-1.19342750278896
"12",2032,-0.457665552093319,-0.357665628960929,-1.76829207084863,-1.08309061665594
"13",2033,-0.405279297022718,-0.316725770623254,0.693835332975052,-0.95911567239983
"14",2034,-0.347704164599764,-0.271730804634716,0.676002910628301,-0.82286096545324
"15",2035,-0.285570960023687,-0.223173705258511,3.39704364594365,-0.675819330898688
"16",2036,-0.219560427686015,-0.171586474236621,0.26580113060936,-0.519601787654756
"17",2037,-0.150395792792613,-0.117534312067427,-0.076414216951232,-0.355919887815801
"18",2038,-0.0788348375570204,-0.0616094255508115,0.730803053593667,-0.186566964529142
"19",2039,-0.00566159877991153,-0.00442453944650086,1.13917251675564,-0.0133984838617318
"20",2040,0.0683222222222266,0.0533938166666701,-0.981663164303016,0.161688284074497
"21",2041,0.142306043224345,0.111212172779825,-1.41761628057364,0.336775052010677
"22",2042,0.215479282001454,0.168397058884136,2.25668317298885,0.509943532678088
"23",2043,0.287040237237047,0.224321945400752,-1.37028046481064,0.679296455964748
"24",2044,0.356204872130431,0.278374107569932,-0.567153198388182,0.84297835580366
"25",2045,0.422215404468122,0.329961338591837,2.29246684729274,0.999195899047637
"26",2046,0.484348609044216,0.378518437968055,0.65896183891878,1.14623753360223
"27",2047,0.541923741467139,0.423513403956569,0.00456560364098069,1.28249224054875
"28",2048,0.594309996537756,0.464453262294256,-1.59585612193092,1.4064671848049
"29",2049,0.640933419482952,0.500889467325927,0.470815265398147,1.51680407093791
"30",2050,0.681283194324352,0.532422816364481,-1.84635077386073,1.61229402493382
"31",2051,0.714917240485081,0.558707823439091,0.519624029361252,1.69189083887412
"32",2052,0.741467056317013,0.579456504511746,0.135201414126451,1.75472243340856
"33",2053,0.760641756481984,0.594441532690671,2.78651444912874,1.80010041243906
"34",2054,0.772231258952431,0.603498728871325,0.00548274115204839,1.82752760533142
"35",2055,0.776108586714027,0.606528860517012,-0.173762157491758,1.8367035140208
"36",2056,0.772231258952433,0.603498728871326,-0.760595474899524,1.82752760533142
"37",2057,0.760641756481984,0.594441532690671,1.70041593783019,1.80010041243906
"38",2058,0.741467056317013,0.579456504511746,-1.71596428198764,1.75472243340856
"39",2059,0.71491724048508,0.55870782343909,-1.42351257183312,1.69189083887412
"40",2060,0.681283194324362,0.532422816364489,1.21563446270529,1.61229402493384
"41",2061,0.640933419482964,0.500889467325936,0.634937927430163,1.51680407093794
"42",2062,0.594309996537769,0.464453262294266,0.835820967258418,1.40646718480493
"43",2063,0.541923741467153,0.42351340395658,-1.67551800382926,1.28249224054878
"44",2064,0.484348609044215,0.378518437968054,-0.553650278268534,1.14623753360223
"45",2065,0.422215404468121,0.329961338591837,0.643107381715873,0.999195899047635
"46",2066,0.356204872130467,0.27837410756996,0.989749482857564,0.842978355803745
"47",2067,0.287040237237065,0.224321945400766,-0.47161932083573,0.679296455964792
"48",2068,0.215479282001473,0.168397058884151,0.042681755892587,0.509943532678133
"49",2069,0.142306043224364,0.11121217277984,-0.315607343610521,0.336775052010723
"50",2070,0.0683222222222259,0.0533938166666695,0.393295790077304,0.161688284074495
"51",2071,-0.00566159877991222,-0.0044245394465014,2.4065568258859,-0.0133984838617335
"52",2072,-0.0788348375570211,-0.061609425550812,-2.13050614060456,-0.186566964529144
"53",2073,-0.150395792792595,-0.117534312067413,-1.89022085591594,-0.355919887815758
"54",2074,-0.219560427685998,-0.171586474236607,-0.616821222180012,-0.519601787654714
"55",2075,-0.28557096002367,-0.223173705258498,0.0973930974620549,-0.675819330898648
"56",2076,-0.347704164599765,-0.271730804634716,1.2998130326988,-0.822860965453242
"57",2077,-0.405279297022703,-0.316725770623242,0.214536242803248,-0.959115672399795
"58",2078,-0.457665552093319,-0.357665628960929,-1.41531307978079,-1.08309061665595
"59",2079,-0.504288975038503,-0.39410183399259,0.0960081829336859,-1.19342750278893
"60",2080,-0.544638749879903,-0.425635183031144,0.364036634831045,-1.28891745678483
"61",2081,-0.578272796040633,-0.451920190105754,0.518277045795412,-1.36851427072514
"62",2082,-0.604822611872566,-0.47266887117841,0.643141494066874,-1.43134586525958
"63",2083,-0.623997312037538,-0.487653899357336,-0.495326318854381,-1.47672384429008
"64",2084,-0.635586814507987,-0.496711095537992,-2.4375334191803,-1.50415103718245
"65",2085,-0.639464142269583,-0.499741227183679,0.184748403641264,-1.51332694587183
"66",2086,-0.635586814507989,-0.496711095537993,-2.15056985209874,-1.50415103718245
"67",2087,-0.623997312037541,-0.487653899357338,-2.55676779049398,-1.47672384429009
"68",2088,-0.604822611872571,-0.472668871178414,0.445099924346498,-1.43134586525959
"69",2089,-0.578272796040639,-0.451920190105759,1.03868912406343,-1.36851427072515
"70",2090,-0.544638749879911,-0.42563518303115,-3.29934739437151,-1.28891745678485
"71",2091,-0.504288975038512,-0.394101833992597,2.30447858461386,-1.19342750278895
"72",2092,-0.457665552093329,-0.357665628960937,0.426217358656012,-1.08309061665597
"73",2093,-0.405279297022714,-0.316725770623251,-0.683906178412432,-0.959115672399821
"74",2094,-0.347704164599777,-0.271730804634725,1.60366463267798,-0.822860965453269
"75",2095,-0.285570960023683,-0.223173705258508,-1.50291234286577,-0.675819330898678
"76",2096,-0.219560427685992,-0.171586474236603,-1.93040223443786,-0.519601787654702
"77",2097,-0.150395792792608,-0.117534312067423,-0.0494124846938355,-0.35591988781579
"78",2098,-0.0788348375570354,-0.0616094255508231,-0.291364603808902,-0.186566964529177
"79",2099,-0.0056615987799267,-0.00442453944651271,0.901335175165832,-0.0133984838617677
"80",2100,0.0683222222222113,0.0533938166666581,2.50423513706831,0.16168828407446
"81",2101,0.142306043224349,0.111212172779829,-1.05832423742809,0.336775052010689
"82",2102,0.215479282001458,0.16839705888414,-0.0254912731447546,0.509943532678099
"83",2103,0.287040237237051,0.224321945400756,-0.83066248222507,0.679296455964759
"84",2104,0.356204872130454,0.27837410756995,-0.905930615872572,0.842978355803714
"85",2105,0.422215404468108,0.329961338591827,0.823135586730477,0.999195899047606
"86",2106,0.484348609044203,0.378518437968045,-0.760107007782239,1.1462375336022
"87",2107,0.541923741467157,0.423513403956583,0.929840192019314,1.28249224054879
"88",2108,0.594309996537759,0.464453262294259,1.10390434282235,1.40646718480491
"89",2109,0.640933419482955,0.500889467325929,0.510247912757244,1.51680407093792
"90",2110,0.681283194324354,0.532422816364483,1.65802963468481,1.61229402493382
"91",2111,0.714917240485074,0.558707823439086,0.24157333931437,1.6918908388741
"92",2112,0.741467056317008,0.579456504511742,-0.627405744296603,1.75472243340855
"93",2113,0.760641756481981,0.594441532690668,2.83506695229683,1.80010041243905
"94",2114,0.772231258952431,0.603498728871325,-0.0496091780480032,1.82752760533142
"95",2115,0.776108586714027,0.606528860517012,-1.92811999864275,1.8367035140208
"96",2116,0.772231258952432,0.603498728871326,2.76325040833122,1.82752760533142
"97",2117,0.760641756481987,0.594441532690673,1.46156046597539,1.80010041243907
"98",2118,0.741467056317011,0.579456504511744,-0.502814466974391,1.75472243340856
"99",2119,0.714917240485087,0.558707823439095,-0.259514359633867,1.69189083887413
"100",2120,0.681283194324359,0.532422816364487,1.56838257475302,1.61229402493383
