"","year","gfdl_sst_station","gfdl_sst_all","had_sst_station","had_sst_all","ipsl_sst_station","ipsl_sst_all","SST_CC_ann","sstGFDLbc","sstHADbc","sstIPSLbc","emean","recDevSST_GFDL","recDevSST_HAD","recDevSST_IPSL","recDevSST_EMEAN","recDevSST_GFDLbc","recDevSST_HADbc","recDevSST_IPSLbc","recDevSST_EMEANbc"
"1",1980,16.55392341,16.43328001,17.35902742,17.14289067,16.6966566,16.56294597,NA,15.549592382,16.3405321712,15.7157199396,15.8686148309333,-0.356204621625366,0.656961565447212,-0.143401034804285,0.0524519696725214,-0.542593014810879,0.759655596601286,-0.188133068078759,0.0846037505916978
"2",1981,16.68066635,16.52503173,17.16586459,16.84502038,16.5429225,16.33305015,NA,15.641344102,16.0426618812,15.4858241196,15.7232767009333,-0.238673879615568,0.275400149417365,-0.437889533870589,-0.133721088022931,-0.363562885024616,0.318449778210872,-0.574483312474606,-0.21568886069629
"3",1982,16.2599561,16.2604184,17.01378382,16.76520689,16.21871189,16.08386406,NA,15.376730772,15.9628483912,15.2366380296,15.5254057309333,-0.577634293879019,0.173161862199514,-0.757088193647437,-0.387186875108981,-0.87988845159793,0.200229944423333,-0.993251721450217,-0.624523006831144
"4",1983,16.33869696,16.28836546,16.33390188,16.13336833,15.72314008,15.583915,NA,15.404677832,15.3310098312,14.7366889696,15.1574588776,-0.541835088166117,-0.636201218810889,-1.39750544129033,-0.858513916089112,-0.825356876833502,-0.735650062123893,-1.83343855701978,-1.38476205354699
"5",1984,17.34373739,17.21173691,16.99718308,16.80881405,16.00060663,15.94075077,15.99283,16.328049282,16.0064555512,15.0935247396,15.8093431909333,0.640971421283133,0.229021107908906,-0.940411309172287,-0.0234729266600837,0.976367499934937,0.264820920299038,-1.23376002894268,-0.0378612594570936
"6",1985,16.84289118,16.66909029,16.64237159,16.46264913,16.44604213,16.34103236,15.66987,15.785402662,15.6602906312,15.4938063296,15.6464998742667,-0.0541399063051671,-0.214404038838889,-0.427664602237936,-0.232069515793999,-0.0824692696283848,-0.247918959957741,-0.561068850287691,-0.374322481248162
"7",1986,16.75980825,16.6170774,15.56998732,15.46566653,16.8952615,16.7211879,15.73054,15.733389772,14.6633080312,15.8739618696,15.4235532242667,-0.120766597944019,-1.49150385504789,0.059301339058166,-0.517656371311247,-0.18395918662677,-1.72465074127774,0.0777995979835021,-0.834967129052616
"8",1987,17.12324413,17.04996223,16.72341397,16.61689338,16.58522543,16.45506114,16.19182,16.166274602,15.8145348812,15.6078351096,15.8628815309333,0.433743718316933,-0.01682255313764,-0.281597726065232,0.0451078130380189,0.660705385300665,-0.0194521982902174,-0.369438367309964,0.0727578046702938
"9",1988,16.58117923,16.491796,16.79967316,16.60461565,16.35301837,16.23417614,15.71291,15.608108372,15.8022571512,15.3869501096,15.5991052109333,-0.281247686495018,-0.032549895547092,-0.564543680090235,-0.29278042071078,-0.428413953270979,-0.0376379861800645,-0.740645524244684,-0.47224769339642
"10",1989,17.1442493,17.03339961,17.45081611,17.37931717,16.81842459,16.70316116,15.61665,16.149711982,16.5769586712,15.8559351296,16.1942019276,0.41252758178863,0.959815637019712,0.0362097160540635,0.469517644954138,0.628387647734536,1.10985080211064,0.0475048522823361,0.75732053496003
"11",1990,16.63274281,16.48008451,17.19132488,17.13430227,16.54049737,16.40328835,15.93865,15.596396882,16.3319437712,15.5560623196,15.8281343242667,-0.296249695282867,0.64596012564121,-0.347916858007586,0.000597857450255646,-0.451265945306556,0.746934448578551,-0.456444864729341,0.000964329517587505
"12",1991,16.7592349,16.63800669,17.35117461,17.19212481,16.48684359,16.31741856,15.70547,15.754319062,16.3897663112,15.4701925296,15.8714259676,-0.0939569099791662,0.720028775592308,-0.457913053554936,0.0560529373527352,-0.143121003919843,0.832581261767312,-0.600752901094332,0.0904120238254325
"13",1992,15.63755247,15.48262608,16.5274505,16.35924696,16.19325692,16.06003322,16.62638,14.598938452,15.5568884612,15.2128071896,15.1228780342667,-1.57395903306782,-0.34685859953294,-0.787614665608032,-0.902810766069596,-2.39755220761646,-0.401078373869733,-1.0333005177187,-1.45621179454137
